A;RTSALEDATA;117;20240205 01:07;VALNET;
B;117;1245206;1;20240205 01:07;ELIM EEK;;2125;WIRRINYA RD;GAREMA;2871;370.5;H;20231221;20240131;2600000;RU1;3;FARM;;RMA;;0;AT805185;
C;117;1245206;1;20240205 01:07;153/752930;
D;117;1245206;1;20240205 01:07;P;;;;;;
D;117;1245206;1;20240205 01:07;V;;;;;;
D;117;1245206;1;20240205 01:07;V;;;;;;
B;117;1245222;2;20240205 01:07;;;131;LAGOON RD W;FORBES;2871;483.37;H;20231219;20240130;3384944;RU1;3;FARM;;RMA;;0;AT798052;
C;117;1245222;2;20240205 01:07;15, 51, 57, 58, 59, 60, 93, 133, 134/752931 1, 2, 3, 4, 5, 6/1108609;
D;117;1245222;2;20240205 01:07;P;;;;;;
D;117;1245222;2;20240205 01:07;V;;;;;;
B;117;1245236;3;20240205 01:07;;;;WONGAJONG RD PH BRAULIN;FORBES;2871;246.7;H;20231219;20240130;1727591;RU1;3;FARM;;RMA;;0;AT798053;
C;117;1245236;3;20240205 01:07;1, 4/548126 1/653350;
D;117;1245236;3;20240205 01:07;P;;;;;;
D;117;1245236;3;20240205 01:07;V;;;;;;
B;117;4524424;4;20240205 01:07;;;21;COLLEGE RD;FORBES;2871;2.127;H;20231208;20240129;370000;R5;V;VACANT LAND;;RRF;;0;AT794701;
C;117;4524424;4;20240205 01:07;23/1301095;
D;117;4524424;4;20240205 01:07;P;;;;;;
D;117;4524424;4;20240205 01:07;V;;;;;;
D;117;4524424;4;20240205 01:07;V;;;;;;
B;117;4529036;5;20240205 01:07;;;;BACK YAMMA RD;DAROOBALGIE;2870;31.29;H;20231129;20231212;330000;;V;VACANT LAND;;;;0;AT685506;
C;117;4529036;5;20240205 01:07;147/1298120;
D;117;4529036;5;20240205 01:07;P;;;;;;
D;117;4529036;5;20240205 01:07;V;;;;;;
B;117;4518590;6;20240205 01:07;;;12;LIMOUSIN ST;FORBES;2871;5336;M;20231218;20240129;229032;E4;V;VACANT LAND;;IFA;;0;AT795087;
C;117;4518590;6;20240205 01:07;604/1294501;
D;117;4518590;6;20240205 01:07;P;;;;;;
D;117;4518590;6;20240205 01:07;V;;;;;;
B;117;2824177;7;20240205 01:07;;;;WONGAJONG RD;FORBES;2871;105.31;H;20231219;20240130;737465;RU1;3;FARM;;RMA;;0;AT798051;
C;117;2824177;7;20240205 01:07;8/1018345;
D;117;2824177;7;20240205 01:07;P;;;;;;
D;117;2824177;7;20240205 01:07;V;;;;;;
D;117;2824177;7;20240205 01:07;V;;;;;;
Z;33;7;7;17;
