A;RTSALEDATA;239;20230710 01:13;VALNET;
B;239;2636734;1;20230710 01:13;BACKSPRING;;;DOWLING TRACK;YANTABULLA;2840;4750;H;20220330;20230626;17000;RU1;R;RESIDENCE;;RPB;;11;AT207783;
C;239;2636734;1;20230710 01:13;4669/767833 6039/768896 Western Land Lease 5579;
D;239;2636734;1;20230710 01:13;P;;;;;;
D;239;2636734;1;20230710 01:13;P;;;;;;
D;239;2636734;1;20230710 01:13;P;;;;;;
D;239;2636734;1;20230710 01:13;P;;;;;;
D;239;2636734;1;20230710 01:13;P;;;;;;
D;239;2636734;1;20230710 01:13;P;;;;;;
D;239;2636734;1;20230710 01:13;P;;;;;;
D;239;2636734;1;20230710 01:13;P;;;;;;
D;239;2636734;1;20230710 01:13;P;;;;;;
D;239;2636734;1;20230710 01:13;V;;;;;;
D;239;2636734;1;20230710 01:13;V;;;;;;
D;239;2636734;1;20230710 01:13;V;;;;;;
D;239;2636734;1;20230710 01:13;V;;;;;;
D;239;2636734;1;20230710 01:13;V;;;;;;
D;239;2636734;1;20230710 01:13;V;;;;;;
D;239;2636734;1;20230710 01:13;V;;;;;;
D;239;2636734;1;20230710 01:13;V;;;;;;
D;239;2636734;1;20230710 01:13;V;;;;;;
Z;22;1;1;18;
