A;RTSALEDATA;124;20210719 01:02;VALNET;
B;124;1268969;1;20210719 01:02;;;24;COOLABAH DR;CLIFTON GROVE;2800;3.837;H;20210511;20210709;920000;R5;R;RESIDENCE;;RHC;;0;AR229251;
C;124;1268969;1;20210719 01:02;1147/590954;
D;124;1268969;1;20210719 01:02;P;;;;;;
D;124;1268969;1;20210719 01:02;P;;;;;;
D;124;1268969;1;20210719 01:02;V;;;;;;
D;124;1268969;1;20210719 01:02;V;;;;;;
B;124;3447854;2;20210719 01:02;;;12;BEGONIA PL;ORANGE;2800;453.4;M;20210607;20210714;505750;R1;R;RESIDENCE;;AGP;;0;AR241064;
C;124;3447854;2;20210719 01:02;182/1137614;
D;124;3447854;2;20210719 01:02;P;;;;;;
D;124;3447854;2;20210719 01:02;V;;;;;;
D;124;3447854;2;20210719 01:02;V;;;;;;
B;124;3460952;3;20210719 01:02;;;13;DAIRY HILL PL;ORANGE;2800;2126;M;20210602;20210709;855000;R2;R;RESIDENCE;;ALH;;0;AR228104;
C;124;3460952;3;20210719 01:02;8/1138260;
D;124;3460952;3;20210719 01:02;P;;;;;;
D;124;3460952;3;20210719 01:02;P;;;;;;
D;124;3460952;3;20210719 01:02;V;;;;;;
D;124;3460952;3;20210719 01:02;V;;;;;;
B;124;1266736;4;20210719 01:02;;;116;AUTUMN ST;ORANGE;2800;531.1;M;20210528;20210709;449000;R1;R;RESIDENCE;;AGE;;0;AR225258;
C;124;1266736;4;20210719 01:02;A/157468;
D;124;1266736;4;20210719 01:02;P;;;;;;
D;124;1266736;4;20210719 01:02;V;;;;;;
D;124;1266736;4;20210719 01:02;V;;;;;;
B;124;1277817;5;20210719 01:02;;;103;SALE ST;ORANGE;2800;738.9;M;20210616;20210709;1000000;R1;R;RESIDENCE;;AGC;;0;AR229322;
C;124;1277817;5;20210719 01:02;1, 2/779628;
D;124;1277817;5;20210719 01:02;P;;;;;;
D;124;1277817;5;20210719 01:02;P;;;;;;
D;124;1277817;5;20210719 01:02;V;;;;;;
B;124;1277818;6;20210719 01:02;;;105;SALE ST;ORANGE;2800;723.4;M;20210604;20210715;1145000;R1;R;RESIDENCE;;AGC;;0;AR244359;
C;124;1277818;6;20210719 01:02;B/153001;
D;124;1277818;6;20210719 01:02;P;;;;;;
D;124;1277818;6;20210719 01:02;V;;;;;;
D;124;1277818;6;20210719 01:02;V;;;;;;
D;124;1277818;6;20210719 01:02;V;;;;;;
B;124;1270170;7;20210719 01:02;;;23;EYLES ST;ORANGE;2800;537.5;M;20210601;20210713;455000;R1;R;RESIDENCE;;AGE;;0;AR238182;
C;124;1270170;7;20210719 01:02;5/37362;
D;124;1270170;7;20210719 01:02;P;;;;;;
D;124;1270170;7;20210719 01:02;P;;;;;;
D;124;1270170;7;20210719 01:02;V;;;;;;
D;124;1270170;7;20210719 01:02;V;;;;;;
B;124;1267409;8;20210719 01:02;;;48;BLETCHINGTON ST;ORANGE;2800;1037;M;20210628;20210712;490000;R1;R;RESIDENCE;;AGE;;0;AR232761;
C;124;1267409;8;20210719 01:02;5/25169;
D;124;1267409;8;20210719 01:02;P;;;;;;
D;124;1267409;8;20210719 01:02;P;;;;;;
D;124;1267409;8;20210719 01:02;V;;;;;;
B;124;1267786;9;20210719 01:02;;;45;BURREBURRY CRES;ORANGE;2800;858;M;20210615;20210713;750000;R2;R;RESIDENCE;;ALW;;0;AR237558;
C;124;1267786;9;20210719 01:02;71/248578;
D;124;1267786;9;20210719 01:02;P;;;;;;
D;124;1267786;9;20210719 01:02;P;;;;;;
D;124;1267786;9;20210719 01:02;V;;;;;;
B;124;1268242;10;20210719 01:02;;;20;CAROLINE ST;ORANGE;2800;562.8;M;20210705;20210709;350000;R1;R;RESIDENCE;;AGE;;0;AR226301;
C;124;1268242;10;20210719 01:02;10/16510;
D;124;1268242;10;20210719 01:02;P;;;;;;
