A;RTSALEDATA;216;20240422 01:06;VALNET;
B;216;3431588;1;20240422 01:06;;;30;MINYAGO ST;BLACKHEATH;2785;556.4;M;20240307;20240418;947500;C4;R;RESIDENCE;;BLH;;0;AT993336;
C;216;3431588;1;20240422 01:06;4/23996;
D;216;3431588;1;20240422 01:06;P;;;;;;
D;216;3431588;1;20240422 01:06;V;;;;;;
D;216;3431588;1;20240422 01:06;V;;;;;;
B;216;4528396;2;20240422 01:06;;;5;GLENCOE RD;KATOOMBA;2780;1717;M;20240319;20240418;805000;C4;R;RESIDENCE;;KAP;;0;AT994736;
C;216;4528396;2;20240422 01:06;82/1270176;
D;216;4528396;2;20240422 01:06;P;;;;;;
D;216;4528396;2;20240422 01:06;V;;;;;;
D;216;4528396;2;20240422 01:06;V;;;;;;
B;216;4538041;3;20240422 01:06;;;8;BARINGA ST;BLAXLAND;2774;1473;M;20240202;20240417;760000;C4;V;VACANT LAND;;BXE;;0;AT991053;
C;216;4538041;3;20240422 01:06;2/1287086;
D;216;4538041;3;20240422 01:06;P;;;;;;
D;216;4538041;3;20240422 01:06;P;;;;;;
D;216;4538041;3;20240422 01:06;V;;;;;;
B;216;4538042;4;20240422 01:06;;;8 A;BARINGA ST;BLAXLAND;2774;1633;M;20240228;20240417;835000;C4;V;VACANT LAND;;BXE;;0;AT990423;
C;216;4538042;4;20240422 01:06;3/1287086;
D;216;4538042;4;20240422 01:06;P;;;;;;
D;216;4538042;4;20240422 01:06;P;;;;;;
D;216;4538042;4;20240422 01:06;V;;;;;;
B;216;2245773;5;20240422 01:06;;;163;STATION ST;BLACKHEATH;2785;947.62;M;20240307;20240418;660000;C4;R;RESIDENCE;;BLH;;0;AT994029;
C;216;2245773;5;20240422 01:06;6/3/5419;
D;216;2245773;5;20240422 01:06;P;;;;;;
D;216;2245773;5;20240422 01:06;V;;;;;;
B;216;2251289;6;20240422 01:06;;;3;ALEXANDRA CRES;GLENBROOK;2773;695.6;M;20240311;20240417;1500000;A;R;RESIDENCE;;BG;;0;AT989759;
C;216;2251289;6;20240422 01:06;2/225590;
D;216;2251289;6;20240422 01:06;P;;;;;;
D;216;2251289;6;20240422 01:06;P;;;;;;
D;216;2251289;6;20240422 01:06;V;;;;;;
D;216;2251289;6;20240422 01:06;V;;;;;;
B;216;2253871;7;20240422 01:06;;;60;FALCON ST;HAZELBROOK;2779;777.8;M;20240318;20240418;750000;C4;R;RESIDENCE;;HZL;;0;AT993936;
C;216;2253871;7;20240422 01:06;17/24214;
D;216;2253871;7;20240422 01:06;P;;;;;;
D;216;2253871;7;20240422 01:06;V;;;;;;
D;216;2253871;7;20240422 01:06;V;;;;;;
B;216;2267230;8;20240422 01:06;;;92;BURNS RD;SPRINGWOOD;2777;682.9;M;20240303;20240415;880000;C4;R;RESIDENCE;;SPL;;0;AT982889;
C;216;2267230;8;20240422 01:06;40/24550;
D;216;2267230;8;20240422 01:06;P;;;;;;
D;216;2267230;8;20240422 01:06;P;;;;;;
D;216;2267230;8;20240422 01:06;V;;;;;;
D;216;2267230;8;20240422 01:06;V;;;;;;
B;216;2256669;9;20240422 01:06;BALRANALD;1;37;ADA ST;KATOOMBA;2780;;;20240308;20240416;446000;;R;RESIDENCE;1;;;0;AT985405;
C;216;2256669;9;20240422 01:06;1/SP13335;
D;216;2256669;9;20240422 01:06;P;;;;;;
D;216;2256669;9;20240422 01:06;P;;;;;;
D;216;2256669;9;20240422 01:06;V;;;;;;
B;216;2259333;10;20240422 01:06;;;115;STUARTS RD;KATOOMBA;2780;3971;M;20240202;20240412;1090000;C4;R;RESIDENCE;;KAP;;0;AT978774;
C;216;2259333;10;20240422 01:06;11/G/1711;
D;216;2259333;10;20240422 01:06;P;;;;;;
D;216;2259333;10;20240422 01:06;P;;;;;;
D;216;2259333;10;20240422 01:06;V;;;;;;
B;216;2259593;11;20240422 01:06;;;10;WARIALDA ST;KATOOMBA;2780;808.84;M;20240222;20240412;880000;R2;R;RESIDENCE;;KAT;;0;AT978773;
C;216;2259593;11;20240422 01:06;7/7109;
D;216;2259593;11;20240422 01:06;P;;;;;;
D;216;2259593;11;20240422 01:06;P;;;;;;
D;216;2259593;11;20240422 01:06;V;;;;;;
B;216;2268088;12;20240422 01:06;;;14;FERGUSON RD;SPRINGWOOD;2777;701.9;M;20240325;20240417;907500;R3;R;RESIDENCE;;SWM;;0;AT990737;
C;216;2268088;12;20240422 01:06;1/656885;
D;216;2268088;12;20240422 01:06;P;;;;;;
D;216;2268088;12;20240422 01:06;P;;;;;;
D;216;2268088;12;20240422 01:06;V;;;;;;
B;216;2246917;13;20240422 01:06;;;20;GLENELL ST;BLAXLAND;2774;556.4;M;20240123;20240417;1100000;R2;R;RESIDENCE;;BAX;;0;AT991070;
C;216;2246917;13;20240422 01:06;125/28572;
D;216;2246917;13;20240422 01:06;P;;;;;;
D;216;2246917;13;20240422 01:06;V;;;;;;
B;216;2249513;14;20240422 01:06;;;68;KENT ST;BULLABURRA;2784;822;M;20240305;20240416;176000;C4;R;RESIDENCE;;BUL;;0;AT986599;
C;216;2249513;14;20240422 01:06;50/29859;
D;216;2249513;14;20240422 01:06;P;;;;;;
D;216;2249513;14;20240422 01:06;P;;;;;;
D;216;2249513;14;20240422 01:06;V;;;;;;
B;216;2268188;15;20240422 01:06;;;19;GEORGE ST;SPRINGWOOD;2777;878.9;M;20240307;20240418;1530000;R2;R;RESIDENCE;;SPD;;0;AT993833;
C;216;2268188;15;20240422 01:06;3/19381;
D;216;2268188;15;20240422 01:06;P;;;;;;
D;216;2268188;15;20240422 01:06;V;;;;;;
B;216;2244305;16;20240422 01:06;;;254;GOVETTS LEAP RD;BLACKHEATH;2785;663.9;M;20240320;20240418;760000;A;R;RESIDENCE;;BA;;0;AT993222;
C;216;2244305;16;20240422 01:06;21/24792;
D;216;2244305;16;20240422 01:06;P;;;;;;
D;216;2244305;16;20240422 01:06;V;;;;;;
B;216;2265802;17;20240422 01:06;;;31;VISTA PDE;MOUNT RIVERVIEW;2774;1612;M;20240311;20240415;899000;C4;R;RESIDENCE;;MRL;;0;AT983199;
C;216;2265802;17;20240422 01:06;271/223692;
D;216;2265802;17;20240422 01:06;P;;;;;;
D;216;2265802;17;20240422 01:06;P;;;;;;
D;216;2265802;17;20240422 01:06;V;;;;;;
D;216;2265802;17;20240422 01:06;V;;;;;;
B;216;2268387;18;20240422 01:06;;;21;BLAND RD;SPRINGWOOD;2777;491.7;M;20240306;20240417;710000;R3;R;RESIDENCE;;SWM;;0;AT990227;
C;216;2268387;18;20240422 01:06;3/853984;
D;216;2268387;18;20240422 01:06;P;;;;;;
D;216;2268387;18;20240422 01:06;V;;;;;;
D;216;2268387;18;20240422 01:06;V;;;;;;
B;216;2271098;19;20240422 01:06;;;236;RAILWAY PDE;WARRIMOO;2774;2055;M;20240221;20240417;1207000;C4;R;RESIDENCE;;WAE;;0;AT991626;
C;216;2271098;19;20240422 01:06;51, 52/15565;
D;216;2271098;19;20240422 01:06;P;;;;;;
D;216;2271098;19;20240422 01:06;P;;;;;;
D;216;2271098;19;20240422 01:06;V;;;;;;
D;216;2271098;19;20240422 01:06;V;;;;;;
B;216;2271140;20;20240422 01:06;;;52;RICKARD RD;WARRIMOO;2774;1.051;H;20240308;20240418;1650000;C4;R;RESIDENCE;;WAE;;0;AT993830;
C;216;2271140;20;20240422 01:06;26/1/11834 A/406953;
D;216;2271140;20;20240422 01:06;P;;;;;;
D;216;2271140;20;20240422 01:06;V;;;;;;
D;216;2271140;20;20240422 01:06;V;;;;;;
B;216;2249969;21;20240422 01:06;;;3;DOBSON DORKING PL;FAULCONBRIDGE;2776;899.7;M;20240307;20240412;1420000;C4;R;RESIDENCE;;FBE;;0;AT979167;
C;216;2249969;21;20240422 01:06;4/828267;
D;216;2249969;21;20240422 01:06;P;;;;;;
D;216;2249969;21;20240422 01:06;V;;;;;;
D;216;2249969;21;20240422 01:06;V;;;;;;
B;216;2253495;22;20240422 01:06;;;29;BLUE HILLS RD;HAZELBROOK;2779;689.2;M;20200320;20240415;773000;R2;R;RESIDENCE;;HLD;;0;AT983202;
C;216;2253495;22;20240422 01:06;160/220512;
D;216;2253495;22;20240422 01:06;P;;;;;;
D;216;2253495;22;20240422 01:06;P;;;;;;
D;216;2253495;22;20240422 01:06;V;;;;;;
B;216;2258997;23;20240422 01:06;;;27;NEALE ST;KATOOMBA;2780;1347;M;20230531;20240416;90328;C4;R;RESIDENCE;;KAP;;0;AT987925;
C;216;2258997;23;20240422 01:06;1/923701;
D;216;2258997;23;20240422 01:06;P;;;;;;
D;216;2258997;23;20240422 01:06;V;;;;;;
D;216;2258997;23;20240422 01:06;V;;;;;;
D;216;2258997;23;20240422 01:06;V;;;;;;
B;216;3352546;24;20240422 01:06;;;76;RAILWAY PDE;WOODFORD;2778;1227;M;20240307;20240418;810000;C4;R;RESIDENCE;;WFE;;0;AT993177;
C;216;3352546;24;20240422 01:06;16/5054;
D;216;3352546;24;20240422 01:06;P;;;;;;
D;216;3352546;24;20240422 01:06;P;;;;;;
D;216;3352546;24;20240422 01:06;V;;;;;;
