A;RTSALEDATA;303;20241111 01:08;VALNET;
B;303;3433606;1;20241111 01:08;;;10;HILLTOP CL;LAWRENCE;2460;4818;M;20241004;20241101;690000;R5;R;RESIDENCE;;JFH;;0;AU549101;
C;303;3433606;1;20241111 01:08;23/1135221;
D;303;3433606;1;20241111 01:08;P;;;;;;
D;303;3433606;1;20241111 01:08;V;;;;;;
D;303;3433606;1;20241111 01:08;V;;;;;;
B;303;4153259;2;20241111 01:08;;;130;FITZGERALDS LANE;TYNDALE;2460;41.02;H;20240925;20241106;1225000;RU2;3;FARM;;JFF;;0;AU559830;
C;303;4153259;2;20241111 01:08;3031/1231714;
D;303;4153259;2;20241111 01:08;P;;;;;;
D;303;4153259;2;20241111 01:08;P;;;;;;
D;303;4153259;2;20241111 01:08;V;;;;;;
B;303;1719814;3;20241111 01:08;;;26;CRAIG ST;GRAFTON;2460;1470;M;20240918;20241030;3300000;R1;R;RESIDENCE;;EBB;;0;AU539589;
C;303;1719814;3;20241111 01:08;1/775690;
D;303;1719814;3;20241111 01:08;P;;;;;;
D;303;1719814;3;20241111 01:08;V;;;;;;
B;303;1722799;4;20241111 01:08;;;176;OLIVER ST;GRAFTON;2460;766.5;M;20241003;20241101;385000;R1;R;RESIDENCE;;EBB;;0;AU549354;
C;303;1722799;4;20241111 01:08;1/339208;
D;303;1722799;4;20241111 01:08;P;;;;;;
D;303;1722799;4;20241111 01:08;P;;;;;;
D;303;1722799;4;20241111 01:08;V;;;;;;
B;303;1720358;5;20241111 01:08;;;9;ELLEN ST;SOUTH GRAFTON;2460;600.8;M;20240923;20241104;512000;R1;R;RESIDENCE;;ADD;;0;AU553082;
C;303;1720358;5;20241111 01:08;7/24197;
D;303;1720358;5;20241111 01:08;P;;;;;;
D;303;1720358;5;20241111 01:08;P;;;;;;
D;303;1720358;5;20241111 01:08;V;;;;;;
B;303;1723760;6;20241111 01:08;;;53;QUEEN ST;GRAFTON;2460;556.52;M;20241003;20241107;480000;R1;3;OFFICE;;AUU;;0;AU562628;
C;303;1723760;6;20241111 01:08;1/734097;
D;303;1723760;6;20241111 01:08;P;;;;;;
D;303;1723760;6;20241111 01:08;V;;;;;;
D;303;1723760;6;20241111 01:08;V;;;;;;
B;303;1718981;7;20241111 01:08;;;40;BIMBLE AVE;SOUTH GRAFTON;2460;3796;M;20241017;20241018;584220;R1;R;RESIDENCE;;ADD;;0;AU508388;
C;303;1718981;7;20241111 01:08;16/1039764;
D;303;1718981;7;20241111 01:08;P;;;;;;
D;303;1718981;7;20241111 01:08;P;;;;;;
D;303;1718981;7;20241111 01:08;V;;;;;;
B;303;1719191;8;20241111 01:08;;;60;BREIMBA ST;GRAFTON;2460;619.6;M;20241015;20241104;500000;R1;R;RESIDENCE;;EBB;;0;AU553581;
C;303;1719191;8;20241111 01:08;17/663934;
D;303;1719191;8;20241111 01:08;P;;;;;;
D;303;1719191;8;20241111 01:08;V;;;;;;
D;303;1719191;8;20241111 01:08;V;;;;;;
B;303;1722320;9;20241111 01:08;;;11;MCLEAN ST;SOUTH GRAFTON;2460;908;M;20241016;20241105;375000;R1;R;RESIDENCE;;ADD;;0;AU557412;
C;303;1722320;9;20241111 01:08;59/12619;
D;303;1722320;9;20241111 01:08;P;;;;;;
D;303;1722320;9;20241111 01:08;P;;;;;;
D;303;1722320;9;20241111 01:08;V;;;;;;
B;303;1771004;10;20241111 01:08;;;47;YAMBA ST;YAMBA;2464;575.4;M;20240914;20241104;1285000;R3;R;RESIDENCE;;AUC;;0;AU552182;
C;303;1771004;10;20241111 01:08;5/21/759130;
D;303;1771004;10;20241111 01:08;P;;;;;;
D;303;1771004;10;20241111 01:08;P;;;;;;
D;303;1771004;10;20241111 01:08;P;;;;;;
D;303;1771004;10;20241111 01:08;P;;;;;;
D;303;1771004;10;20241111 01:08;V;;;;;;
D;303;1771004;10;20241111 01:08;V;;;;;;
D;303;1771004;10;20241111 01:08;V;;;;;;
B;303;1763659;11;20241111 01:08;;3;10;HAMMOND ST;ILUKA;2466;;;20240926;20241101;520000;;R;RESIDENCE;3;;;0;AU549124;
C;303;1763659;11;20241111 01:08;3/SP22755;
D;303;1763659;11;20241111 01:08;P;;;;;;
D;303;1763659;11;20241111 01:08;V;;;;;;
D;303;1763659;11;20241111 01:08;V;;;;;;
B;303;4574875;12;20241111 01:08;;;50;DELLA PL;YAMBA;2464;741;M;20240328;20241105;550000;R2;V;VACANT LAND;;AHH;;0;AU556042;
C;303;4574875;12;20241111 01:08;401/1309667;
D;303;4574875;12;20241111 01:08;P;;;;;;
D;303;4574875;12;20241111 01:08;V;;;;;;
B;303;4574905;13;20241111 01:08;;;5;ROMIAKA CT;YAMBA;2464;767.1;M;20240628;20241104;900000;R2;V;VACANT LAND;;AHC;;0;AU552405;
C;303;4574905;13;20241111 01:08;431/1309667;
D;303;4574905;13;20241111 01:08;P;;;;;;
D;303;4574905;13;20241111 01:08;P;;;;;;
D;303;4574905;13;20241111 01:08;V;;;;;;
B;303;4574505;14;20241111 01:08;;;313;COALDALE RD;FORTIS CREEK;2460;126.7;H;20240911;20241101;292500;RU2;V;VACANT LAND;;CLL;;0;AU550187;
C;303;4574505;14;20241111 01:08;8/1310196;
D;303;4574505;14;20241111 01:08;P;;;;;;
D;303;4574505;14;20241111 01:08;P;;;;;;
D;303;4574505;14;20241111 01:08;V;;;;;;
B;303;1767855;15;20241111 01:08;;;36;ADMIRALTY CT;YAMBA;2464;568.7;M;20241003;20241107;775000;R2;R;RESIDENCE;;AHH;;0;AU563304;
C;303;1767855;15;20241111 01:08;145/801633;
D;303;1767855;15;20241111 01:08;P;;;;;;
D;303;1767855;15;20241111 01:08;P;;;;;;
D;303;1767855;15;20241111 01:08;V;;;;;;
