A;RTSALEDATA;252;20210315 01:02;VALNET;
B;252;3637536;1;20210315 01:02;BURRAKI;;297;MOORABACK RD;YARROWITCH;2354;1220.1;H;20201209;20210309;8500000;RU1;3;FARM;;RWS;;0;AQ856185;
C;252;3637536;1;20210315 01:02;2, 3, 6/818721;
D;252;3637536;1;20210315 01:02;P;;;;;;
D;252;3637536;1;20210315 01:02;P;;;;;;
D;252;3637536;1;20210315 01:02;V;;;;;;
D;252;3637536;1;20210315 01:02;V;;;;;;
B;252;3117056;2;20210315 01:02;;;197 E;CROUDACE ST;WALCHA;2354;1503;M;20210222;20210308;70000;R1;V;VACANT LAND;;AAA;;0;AQ854188;
C;252;3117056;2;20210315 01:02;1/48670;
D;252;3117056;2;20210315 01:02;P;;;;;;
D;252;3117056;2;20210315 01:02;V;;;;;;
D;252;3117056;2;20210315 01:02;V;;;;;;
Z;13;2;2;7;
