A;RTSALEDATA;266;20230821 01:14;VALNET;
B;266;411416;1;20230821 01:14;;;5;CALEDONIA ST;REIDS FLAT;2586;2023;M;20230623;20230811;84500;RU5;V;VACANT LAND;;BSA;;0;AT345084;
C;266;411416;1;20230821 01:14;5/12/758876;
D;266;411416;1;20230821 01:14;P;;;;;;
D;266;411416;1;20230821 01:14;V;;;;;;
B;266;3430522;2;20230821 01:14;;;6;MAYOH PL;YOUNG;2594;910.9;M;20230711;20230815;670000;R1;R;RESIDENCE;;YAC;;0;AT352546;
C;266;3430522;2;20230821 01:14;6/1134884;
D;266;3430522;2;20230821 01:14;P;;;;;;
D;266;3430522;2;20230821 01:14;P;;;;;;
D;266;3430522;2;20230821 01:14;V;;;;;;
D;266;3430522;2;20230821 01:14;V;;;;;;
B;266;452592;3;20230821 01:14;BARWANG RIDGE;;;BARWANG RD;HARDEN;2587;18.72;H;20230616;20230811;1090000;RU1;R;RESIDENCE;;HHB;;0;AT344489;
C;266;452592;3;20230821 01:14;1/603473;
D;266;452592;3;20230821 01:14;P;;;;;;
D;266;452592;3;20230821 01:14;P;;;;;;
D;266;452592;3;20230821 01:14;V;;;;;;
B;266;3050966;4;20230821 01:14;;;73;BRIGGS ST;YOUNG;2594;7080;M;20230815;20230817;110000;R1;R;RESIDENCE;;YAJ;;0;AT361894;
C;266;3050966;4;20230821 01:14;1/594885;
D;266;3050966;4;20230821 01:14;P;;;;;;
D;266;3050966;4;20230821 01:14;P;;;;;;
D;266;3050966;4;20230821 01:14;V;;;;;;
B;266;4500925;5;20230821 01:14;;;30;MURRINGO GAP RD;MURRINGO;2586;8094;M;20230711;20230808;450000;;R;RESIDENCE;;;;0;AT334179;
C;266;4500925;5;20230821 01:14;3, 4, 5, 6/28/758734;
D;266;4500925;5;20230821 01:14;P;;;;;;
D;266;4500925;5;20230821 01:14;V;;;;;;
B;266;4500702;6;20230821 01:14;47A;;;LONG ST ST;BOOROWA;2586;;;20230501;20230816;495000;;R;RESIDENCE;;;;0;AT357995;
C;266;4500702;6;20230821 01:14;31/1297049;
D;266;4500702;6;20230821 01:14;P;;;;;;
D;266;4500702;6;20230821 01:14;P;;;;;;
D;266;4500702;6;20230821 01:14;V;;;;;;
D;266;4500702;6;20230821 01:14;V;;;;;;
B;266;3155230;7;20230821 01:14;;;60;JORDAN PL;YOUNG;2594;1070;M;20230720;20230811;755000;R1;R;RESIDENCE;;YAE;;0;AT345125;
C;266;3155230;7;20230821 01:14;37/1076725;
D;266;3155230;7;20230821 01:14;P;;;;;;
D;266;3155230;7;20230821 01:14;P;;;;;;
D;266;3155230;7;20230821 01:14;V;;;;;;
Z;37;7;7;21;
