A;RTSALEDATA;070;20210125 01:00;VALNET;
B;070;549586;1;20210125 01:00;WHISPERING PINES;;562;HOLLOWAY RD;MOOMBOOLDOOL;2665;454.8;H;20201218;20210118;2050000;RU1;3;FARM;;PPB;;0;AQ727156;
C;070;549586;1;20210125 01:00;1/664836 10, 11, 12, 13, 42/751715 1/1080379 Enclosure Permit 47091;
D;070;549586;1;20210125 01:00;P;;;;;;
D;070;549586;1;20210125 01:00;P;;;;;;
D;070;549586;1;20210125 01:00;V;;;;;;
D;070;549586;1;20210125 01:00;V;;;;;;
D;070;549586;1;20210125 01:00;V;;;;;;
B;070;550134;2;20210125 01:00;;;198;AUDLEY ST;NARRANDERA;2700;1010;M;20201223;20210121;182000;RU5;R;RESIDENCE;;NVM;;0;AQ740094;
C;070;550134;2;20210125 01:00;2/701803;
D;070;550134;2;20210125 01:00;P;;;;;;
D;070;550134;2;20210125 01:00;V;;;;;;
D;070;550134;2;20210125 01:00;V;;;;;;
B;070;550764;3;20210125 01:00;;;55;FERRIER ST;NARRANDERA;2700;986.4;M;20201127;20210115;170000;RU5;R;RESIDENCE;;NRL;;0;AQ723828;
C;070;550764;3;20210125 01:00;1/7/2398;
D;070;550764;3;20210125 01:00;P;;;;;;
D;070;550764;3;20210125 01:00;V;;;;;;
D;070;550764;3;20210125 01:00;V;;;;;;
B;070;550827;4;20210125 01:00;;;12;FRANK ST;NARRANDERA;2700;1014.47;M;20201216;20210118;120000;RU5;R;RESIDENCE;;NRL;;0;AQ729659;
C;070;550827;4;20210125 01:00;1/304459;
D;070;550827;4;20210125 01:00;P;;;;;;
D;070;550827;4;20210125 01:00;V;;;;;;
D;070;550827;4;20210125 01:00;V;;;;;;
B;070;550905;5;20210125 01:00;;;21;GROSVENOR ST;NARRANDERA;2700;727.2;M;20201215;20210118;39000;RU5;V;VACANT LAND;;NVM;;0;AQ727705;
C;070;550905;5;20210125 01:00;12/M/2597;
D;070;550905;5;20210125 01:00;P;;;;;;
D;070;550905;5;20210125 01:00;V;;;;;;
B;070;551048;6;20210125 01:00;;;26;KING ST;NARRANDERA;2700;1012;M;20201222;20210119;180000;RU5;R;RESIDENCE;;NVM;;0;AQ731744;
C;070;551048;6;20210125 01:00;B/312689;
D;070;551048;6;20210125 01:00;P;;;;;;
D;070;551048;6;20210125 01:00;P;;;;;;
D;070;551048;6;20210125 01:00;V;;;;;;
D;070;551048;6;20210125 01:00;V;;;;;;
B;070;551287;7;20210125 01:00;;;44;MELBOURNE ST;NARRANDERA;2700;1208.07;M;20201222;20210119;329000;RU5;R;RESIDENCE;;NVM;;0;AQ732935;
C;070;551287;7;20210125 01:00;C/380245 Y/390971;
D;070;551287;7;20210125 01:00;P;;;;;;
D;070;551287;7;20210125 01:00;P;;;;;;
D;070;551287;7;20210125 01:00;V;;;;;;
D;070;551287;7;20210125 01:00;V;;;;;;
B;070;551510;8;20210125 01:00;;;48;ROSLYN ST;NARRANDERA;2700;537.5;M;20201203;20210115;105000;RU5;R;RESIDENCE;;NRL;;0;AQ719477;
C;070;551510;8;20210125 01:00;2/534383;
D;070;551510;8;20210125 01:00;P;;;;;;
D;070;551510;8;20210125 01:00;P;;;;;;
D;070;551510;8;20210125 01:00;V;;;;;;
B;070;4340468;9;20210125 01:00;;;;LANDERVALE RD;LANDERVALE;2652;259;H;20201006;20210115;1250000;;3;FARM;;;;0;AQ724481;
C;070;4340468;9;20210125 01:00;103/750823;
D;070;4340468;9;20210125 01:00;P;;;;;;
D;070;4340468;9;20210125 01:00;P;;;;;;
D;070;4340468;9;20210125 01:00;P;;;;;;
D;070;4340468;9;20210125 01:00;V;;;;;;
D;070;4340468;9;20210125 01:00;V;;;;;;
B;070;4340469;10;20210125 01:00;;;;LANDERVALE RD;LANDERVALE;2652;259;H;20201006;20210115;1250000;;3;FARM;;;;0;AQ724479;
C;070;4340469;10;20210125 01:00;110/750823;
D;070;4340469;10;20210125 01:00;P;;;;;;
D;070;4340469;10;20210125 01:00;P;;;;;;
D;070;4340469;10;20210125 01:00;V;;;;;;
D;070;4340469;10;20210125 01:00;V;;;;;;
Z;58;10;10;36;
