A;RTSALEDATA;261;20230116 01:07;VALNET;
B;261;2438147;1;20230116 01:07;;;15;COOMA RD;GREYSTANES;2145;556.4;M;20221124;20230110;975000;R2;R;RESIDENCE;;AAB;;0;AS774633;
C;261;2438147;1;20230116 01:07;6/240217;
D;261;2438147;1;20230116 01:07;P;;;;;;
D;261;2438147;1;20230116 01:07;P;;;;;;
D;261;2438147;1;20230116 01:07;V;;;;;;
D;261;2438147;1;20230116 01:07;V;;;;;;
B;261;2443556;2;20230116 01:07;;;8;GOZO RD;GREYSTANES;2145;695.6;M;20221101;20230110;1265000;R2;R;RESIDENCE;;AAB;;0;AS774164;
C;261;2443556;2;20230116 01:07;5/227726;
D;261;2443556;2;20230116 01:07;P;;;;;;
D;261;2443556;2;20230116 01:07;V;;;;;;
D;261;2443556;2;20230116 01:07;V;;;;;;
B;261;2445218;3;20230116 01:07;;;33;HAWKESBURY RD;WESTMEAD;2145;1511.3;M;20220606;20230109;3800000;R2;R;RESIDENCE;;ALS;;0;AS771229;
C;261;2445218;3;20230116 01:07;1, 2/8359;
D;261;2445218;3;20230116 01:07;P;;;;;;
D;261;2445218;3;20230116 01:07;P;;;;;;
D;261;2445218;3;20230116 01:07;V;;;;;;
B;261;2440150;4;20230116 01:07;;;10;DUFFY ST;MERRYLANDS WEST;2160;550.1;M;20221112;20230111;1725000;R2;R;RESIDENCE;;AAG;;0;AS777827;
C;261;2440150;4;20230116 01:07;10/259549;
D;261;2440150;4;20230116 01:07;P;;;;;;
D;261;2440150;4;20230116 01:07;P;;;;;;
D;261;2440150;4;20230116 01:07;V;;;;;;
B;261;2461475;5;20230116 01:07;;;13;VILLIERS ST;MERRYLANDS;2160;510.2;M;20221126;20230109;1060000;R3;R;RESIDENCE;;AAT;;0;AS772122;
C;261;2461475;5;20230116 01:07;C/380238;
D;261;2461475;5;20230116 01:07;P;;;;;;
D;261;2461475;5;20230116 01:07;P;;;;;;
D;261;2461475;5;20230116 01:07;V;;;;;;
D;261;2461475;5;20230116 01:07;V;;;;;;
B;261;2451916;6;20230116 01:07;;;3;MIFSUD ST;GIRRAWEEN;2145;619.7;M;20221130;20230110;1050000;R2;R;RESIDENCE;;AAI;;0;AS775361;
C;261;2451916;6;20230116 01:07;2/222819;
D;261;2451916;6;20230116 01:07;P;;;;;;
D;261;2451916;6;20230116 01:07;P;;;;;;
D;261;2451916;6;20230116 01:07;V;;;;;;
D;261;2451916;6;20230116 01:07;V;;;;;;
B;261;2453256;7;20230116 01:07;;;29;NEMESIA ST;GREYSTANES;2145;569.1;M;20221118;20230112;1020000;R2;R;RESIDENCE;;AAS;;0;AS778849;
C;261;2453256;7;20230116 01:07;7/228518;
D;261;2453256;7;20230116 01:07;P;;;;;;
D;261;2453256;7;20230116 01:07;P;;;;;;
D;261;2453256;7;20230116 01:07;V;;;;;;
D;261;2453256;7;20230116 01:07;V;;;;;;
B;261;2787997;8;20230116 01:07;;7;113;TOONGABBIE RD;TOONGABBIE;2146;;;20221119;20230111;640000;;R;RESIDENCE;7;;;0;AS777145;
C;261;2787997;8;20230116 01:07;7/SP67681;
D;261;2787997;8;20230116 01:07;P;;;;;;
D;261;2787997;8;20230116 01:07;V;;;;;;
B;261;3456063;9;20230116 01:07;;4;25;DRESSLER CT;HOLROYD;2142;;;20221128;20230111;520000;;R;RESIDENCE;4;;;0;AS775860;
C;261;3456063;9;20230116 01:07;4/SP82280;
D;261;3456063;9;20230116 01:07;P;;;;;;
D;261;3456063;9;20230116 01:07;P;;;;;;
D;261;3456063;9;20230116 01:07;V;;;;;;
B;261;4156759;10;20230116 01:07;;47;23;JOHN ST;LIDCOMBE;2141;80;M;20221031;20230109;581000;;R;RESIDENCE;47;;;0;AS772160;
C;261;4156759;10;20230116 01:07;47/SP98157;
D;261;4156759;10;20230116 01:07;P;;;;;;
D;261;4156759;10;20230116 01:07;V;;;;;;
B;261;1320009;11;20230116 01:07;;;16;MARY ST;AUBURN;2144;442.6;M;20200617;20221018;6000000;B4;R;RESIDENCE;;BA4;;0;AS558446;
C;261;1320009;11;20230116 01:07;41/89118;
D;261;1320009;11;20230116 01:07;P;;;;;;
D;261;1320009;11;20230116 01:07;V;;;;;;
B;261;1320010;12;20230116 01:07;;;14;MARY ST;AUBURN;2144;442.6;M;20200617;20221018;6000000;B4;R;RESIDENCE;;BA4;;0;AS558446;
C;261;1320010;12;20230116 01:07;42/738824;
D;261;1320010;12;20230116 01:07;P;;;;;;
D;261;1320010;12;20230116 01:07;V;;;;;;
B;261;1315369;13;20230116 01:07;;10;73;FRANCES ST;LIDCOMBE;2141;;;20221118;20230112;649000;;R;RESIDENCE;10;;;0;AS779106;
C;261;1315369;13;20230116 01:07;10/SP55195;
D;261;1315369;13;20230116 01:07;P;;;;;;
D;261;1315369;13;20230116 01:07;V;;;;;;
