A;RTSALEDATA;238;20240325 01:07;VALNET;
B;238;2634805;1;20240325 01:07;"NABIAC", 638;;;CASTLEREAGH HWY HWY;COONAMBLE;2829;93.2;H;20240208;20240321;940000;RU1;R;RESIDENCE;;RMD;;0;AT921572;
C;238;2634805;1;20240325 01:07;21/701540;
D;238;2634805;1;20240325 01:07;P;;;;;;
D;238;2634805;1;20240325 01:07;V;;;;;;
B;238;2632479;2;20240325 01:07;;;102;ABERFORD ST;COONAMBLE;2829;1012;M;20240229;20240320;180000;E3;R;RESIDENCE;;BBD;;0;AT918373;
C;238;2632479;2;20240325 01:07;9/3541;
D;238;2632479;2;20240325 01:07;P;;;;;;
D;238;2632479;2;20240325 01:07;V;;;;;;
B;238;2632527;3;20240325 01:07;;;13;ABERFORD ST;COONAMBLE;2829;1090;M;20240227;20240318;210000;R1;R;RESIDENCE;;AAD;;0;AT910873;
C;238;2632527;3;20240325 01:07;72/594366;
D;238;2632527;3;20240325 01:07;P;;;;;;
D;238;2632527;3;20240325 01:07;V;;;;;;
D;238;2632527;3;20240325 01:07;V;;;;;;
Z;15;3;3;7;
