A;RTSALEDATA;054;20210201 01:00;VALNET;
B;054;512989;1;20210201 01:00;;;12;WARATAH CRES;COOLAMON;2701;957.8;M;20201127;20210127;275000;RU5;R;RESIDENCE;;CMS;;0;AQ752786;
C;054;512989;1;20210201 01:00;21/249468;
D;054;512989;1;20210201 01:00;P;;;;;;
D;054;512989;1;20210201 01:00;V;;;;;;
B;054;513630;2;20210201 01:00;;;7;BYGOO ST;ARDLETHAN;2665;1012;M;20201201;20210122;125000;RU5;R;RESIDENCE;;ARD;;0;AQ743662;
C;054;513630;2;20210201 01:00;14/9/758028;
D;054;513630;2;20210201 01:00;P;;;;;;
D;054;513630;2;20210201 01:00;V;;;;;;
D;054;513630;2;20210201 01:00;V;;;;;;
B;054;513631;3;20210201 01:00;;;5;BYGOO ST;ARDLETHAN;2665;1012;M;20201218;20210127;132000;RU5;R;RESIDENCE;;ARD;;0;AQ755177;
C;054;513631;3;20210201 01:00;15/9/758028;
D;054;513631;3;20210201 01:00;P;;;;;;
D;054;513631;3;20210201 01:00;P;;;;;;
D;054;513631;3;20210201 01:00;V;;;;;;
B;054;512487;4;20210201 01:00;;;151;COWABBIE ST;COOLAMON;2701;1012;M;20201217;20210122;380000;RU5;R;RESIDENCE;;CMN;;0;AQ743683;
C;054;512487;4;20210201 01:00;2/509654;
D;054;512487;4;20210201 01:00;P;;;;;;
D;054;512487;4;20210201 01:00;P;;;;;;
D;054;512487;4;20210201 01:00;V;;;;;;
Z;21;4;4;11;
