A;RTSALEDATA;101;20240101 01:08;VALNET;
B;101;2925471;1;20240101 01:08;;;23;COACHWOOD AVE;WORRIGEE;2540;800;M;20231128;20231222;815000;R2;R;RESIDENCE;;FUS;;0;AT731645;
C;101;2925471;1;20240101 01:08;346/1043249;
D;101;2925471;1;20240101 01:08;P;;;;;;
D;101;2925471;1;20240101 01:08;P;;;;;;
D;101;2925471;1;20240101 01:08;V;;;;;;
D;101;2925471;1;20240101 01:08;V;;;;;;
B;101;3376109;2;20240101 01:08;;;5;TRIM ST;SOUTH NOWRA;2541;3853;M;20230802;20231222;630000;E4;V;VACANT LAND;;INN;;0;AT730479;
C;101;3376109;2;20240101 01:08;133/1124258;
D;101;3376109;2;20240101 01:08;P;;;;;;
D;101;3376109;2;20240101 01:08;V;;;;;;
B;101;4519874;3;20240101 01:08;;;3;TANIKA LANE;BADAGARANG;2540;540;M;20220510;20231222;495000;R1;V;VACANT LAND;;FMS;;0;AT732348;
C;101;4519874;3;20240101 01:08;153/1285228;
D;101;4519874;3;20240101 01:08;P;;;;;;
D;101;4519874;3;20240101 01:08;P;;;;;;
D;101;4519874;3;20240101 01:08;V;;;;;;
B;101;4506342;4;20240101 01:08;;;4;SERENITY RDGE;BERRY;2535;1.042;H;20231212;20231228;1500000;R5;R;RESIDENCE;;DDS;;0;AT736385;
C;101;4506342;4;20240101 01:08;2/1271411;
D;101;4506342;4;20240101 01:08;P;;;;;;
D;101;4506342;4;20240101 01:08;V;;;;;;
B;101;4519507;5;20240101 01:08;;;104;LANCASTER DR;BADAGARANG;2540;504;M;20231222;20231222;445000;R1;R;RESIDENCE;;FMS;;0;AT730238;
C;101;4519507;5;20240101 01:08;16/1295390;
D;101;4519507;5;20240101 01:08;P;;;;;;
D;101;4519507;5;20240101 01:08;V;;;;;;
B;101;4519543;6;20240101 01:08;;;9;ALTITUDE ST;BADAGARANG;2540;504;M;20220113;20231222;440000;R1;V;VACANT LAND;;FMS;;0;AT730634;
C;101;4519543;6;20240101 01:08;52/1295390;
D;101;4519543;6;20240101 01:08;P;;;;;;
D;101;4519543;6;20240101 01:08;V;;;;;;
B;101;4519544;7;20240101 01:08;;;7;ALTITUDE ST;BADAGARANG;2540;506.7;M;20231221;20231222;467125;R1;V;VACANT LAND;;FMS;;0;AT730255;
C;101;4519544;7;20240101 01:08;53/1295390;
D;101;4519544;7;20240101 01:08;P;;;;;;
D;101;4519544;7;20240101 01:08;V;;;;;;
B;101;4519568;8;20240101 01:08;;;12;SABRE ST;BADAGARANG;2540;509.5;M;20211221;20231222;445000;R1;V;VACANT LAND;;FMS;;0;AT730275;
C;101;4519568;8;20240101 01:08;77/1295390;
D;101;4519568;8;20240101 01:08;P;;;;;;
D;101;4519568;8;20240101 01:08;P;;;;;;
D;101;4519568;8;20240101 01:08;V;;;;;;
B;101;4519582;9;20240101 01:08;;;7;DOWNWIND ST;BADAGARANG;2540;500.9;M;20231221;20231222;463425;R1;R;RESIDENCE;;FMS;;0;AT730287;
C;101;4519582;9;20240101 01:08;91/1295390;
D;101;4519582;9;20240101 01:08;P;;;;;;
D;101;4519582;9;20240101 01:08;P;;;;;;
D;101;4519582;9;20240101 01:08;V;;;;;;
B;101;4519590;10;20240101 01:08;;;43;WEDGETAIL ST;BADAGARANG;2540;500.1;M;20211221;20231222;440000;R1;V;VACANT LAND;;FMS;;0;AT731706;
C;101;4519590;10;20240101 01:08;99/1295390;
D;101;4519590;10;20240101 01:08;P;;;;;;
D;101;4519590;10;20240101 01:08;V;;;;;;
B;101;4519600;11;20240101 01:08;;;128;LANCASTER DR;BADAGARANG;2540;500.1;M;20211222;20231222;450000;R1;V;VACANT LAND;;FMS;;0;AT729880;
C;101;4519600;11;20240101 01:08;109/1295390;
D;101;4519600;11;20240101 01:08;P;;;;;;
D;101;4519600;11;20240101 01:08;P;;;;;;
D;101;4519600;11;20240101 01:08;V;;;;;;
B;101;1053124;12;20240101 01:08;;;6;ABBEY RD;ULLADULLA;2539;785.7;M;20231120;20231222;840000;R2;R;RESIDENCE;;YNS;;0;AT733148;
C;101;1053124;12;20240101 01:08;140/807312;
D;101;1053124;12;20240101 01:08;P;;;;;;
D;101;1053124;12;20240101 01:08;P;;;;;;
D;101;1053124;12;20240101 01:08;V;;;;;;
D;101;1053124;12;20240101 01:08;V;;;;;;
B;101;1098959;13;20240101 01:08;;;19;THE WOOL LANE;ST GEORGES BASIN;2540;666;M;20231220;20231222;642000;R2;R;RESIDENCE;;NNS;;0;AT729689;
C;101;1098959;13;20240101 01:08;232/788157;
D;101;1098959;13;20240101 01:08;P;;;;;;
D;101;1098959;13;20240101 01:08;P;;;;;;
D;101;1098959;13;20240101 01:08;V;;;;;;
B;101;1080445;14;20240101 01:08;;;165;MACLEANS POINT RD;SANCTUARY POINT;2540;695.5;M;20231221;20231222;275000;R2;R;RESIDENCE;;NNS;;50;AT732438;
C;101;1080445;14;20240101 01:08;624/27855;
D;101;1080445;14;20240101 01:08;P;;;;;;
D;101;1080445;14;20240101 01:08;P;;;;;;
D;101;1080445;14;20240101 01:08;P;;;;;;
