A;RTSALEDATA;219;20231106 01:32;VALNET;
B;219;4184119;1;20231106 01:32;;;259;PEBBLY HILL RD;CATTAI;2756;2.348;H;20230921;20231102;1900000;RU4;R;RESIDENCE;;GBB;;0;AT570251;
C;219;4184119;1;20231106 01:32;1/1242010;
D;219;4184119;1;20231106 01:32;P;;;;;;
D;219;4184119;1;20231106 01:32;P;;;;;;
D;219;4184119;1;20231106 01:32;V;;;;;;
D;219;4184119;1;20231106 01:32;V;;;;;;
B;219;3067105;2;20231106 01:32;;;250;BLAXLANDS RIDGE RD;BLAXLANDS RIDGE;2758;2526.3;M;20230811;20231102;1145000;RU4;R;RESIDENCE;;RPP;;0;AT569674;
C;219;3067105;2;20231106 01:32;4/31340 1/1051267;
D;219;3067105;2;20231106 01:32;P;;;;;;
D;219;3067105;2;20231106 01:32;P;;;;;;
D;219;3067105;2;20231106 01:32;V;;;;;;
D;219;3067105;2;20231106 01:32;V;;;;;;
B;219;4506375;3;20231106 01:32;;;84;FAIREY RD;SOUTH WINDSOR;2756;2004;M;20220302;20231102;2533795;E4;V;VACANT LAND;;WSI;;0;AT571274;
C;219;4506375;3;20231106 01:32;504/1280719;
D;219;4506375;3;20231106 01:32;P;;;;;;
D;219;4506375;3;20231106 01:32;V;;;;;;
B;219;4506556;4;20231106 01:32;;;30 A;RUTHERGLEN AVE;HOBARTVILLE;2753;308.3;M;20231006;20231027;1050000;R3;R;RESIDENCE;;AQA;;0;AT554411;
C;219;4506556;4;20231106 01:32;2/1292947;
D;219;4506556;4;20231106 01:32;P;;;;;;
D;219;4506556;4;20231106 01:32;P;;;;;;
D;219;4506556;4;20231106 01:32;V;;;;;;
B;219;3151610;5;20231106 01:32;;1;33;STEPHEN ST;NORTH RICHMOND;2754;;;20230819;20231027;760000;;R;RESIDENCE;1;;;0;AT554486;
C;219;3151610;5;20231106 01:32;1/SP74225;
D;219;3151610;5;20231106 01:32;P;;;;;;
D;219;3151610;5;20231106 01:32;P;;;;;;
D;219;3151610;5;20231106 01:32;V;;;;;;
B;219;3215979;6;20231106 01:32;;;7 A;COPELAND ST;RICHMOND;2753;365.8;M;20230908;20231101;950000;R2;R;RESIDENCE;;AQQ;;0;AT568688;
C;219;3215979;6;20231106 01:32;22/1090353;
D;219;3215979;6;20231106 01:32;P;;;;;;
D;219;3215979;6;20231106 01:32;V;;;;;;
D;219;3215979;6;20231106 01:32;V;;;;;;
B;219;2349685;7;20231106 01:32;MONTROSE;;338;BLAXLANDS RIDGE RD;BLAXLANDS RIDGE;2758;4;H;20230801;20231031;1475000;RU4;R;RESIDENCE;;RPP;;0;AT561608;
C;219;2349685;7;20231106 01:32;1/842867;
D;219;2349685;7;20231106 01:32;P;;;;;;
D;219;2349685;7;20231106 01:32;P;;;;;;
D;219;2349685;7;20231106 01:32;V;;;;;;
B;219;2352439;8;20231106 01:32;;;302;COMMERCIAL RD;VINEYARD;2765;2.073;H;20230918;20231016;33000;R2;V;VACANT LAND;;KDW;AEI;0;AT522383;
C;219;2352439;8;20231106 01:32;1/700504;
B;219;2371052;9;20231106 01:32;;2;207;WINDSOR ST;RICHMOND;2753;;;20231009;20231031;623500;;3;SHOP;2;;;0;AT564483;
C;219;2371052;9;20231106 01:32;2/SP39938;
D;219;2371052;9;20231106 01:32;P;;;;;;
D;219;2371052;9;20231106 01:32;V;;;;;;
D;219;2371052;9;20231106 01:32;V;;;;;;
B;219;2352585;10;20231106 01:32;;;15;COPELAND ST;RICHMOND;2753;486.9;M;20230923;20231101;740000;R2;R;RESIDENCE;;AQQ;;0;AT567448;
C;219;2352585;10;20231106 01:32;3/333665;
D;219;2352585;10;20231106 01:32;P;;;;;;
D;219;2352585;10;20231106 01:32;P;;;;;;
D;219;2352585;10;20231106 01:32;V;;;;;;
B;219;2360732;11;20231106 01:32;;;4;MACQUARIE PL;GLOSSODIA;2756;556.4;M;20230920;20231101;850000;R2;R;RESIDENCE;;ABB;;0;AT567715;
C;219;2360732;11;20231106 01:32;106/217499;
D;219;2360732;11;20231106 01:32;P;;;;;;
D;219;2360732;11;20231106 01:32;P;;;;;;
D;219;2360732;11;20231106 01:32;V;;;;;;
D;219;2360732;11;20231106 01:32;V;;;;;;
B;219;2360970;12;20231106 01:32;;;279;MACQUARIE ST;SOUTH WINDSOR;2756;474.2;M;20231004;20231101;810000;R3;R;RESIDENCE;;AUB;;0;AT567613;
C;219;2360970;12;20231106 01:32;3/407268;
D;219;2360970;12;20231106 01:32;P;;;;;;
D;219;2360970;12;20231106 01:32;P;;;;;;
D;219;2360970;12;20231106 01:32;V;;;;;;
B;219;2355741;13;20231106 01:32;;;488;GEORGE ST;SOUTH WINDSOR;2756;986.4;M;20230504;20231030;2500000;E1;3;COMMERCIAL;;SLC;;0;AT559573;
C;219;2355741;13;20231106 01:32;X/415117;
D;219;2355741;13;20231106 01:32;P;;;;;;
D;219;2355741;13;20231106 01:32;V;;;;;;
D;219;2355741;13;20231106 01:32;V;;;;;;
D;219;2355741;13;20231106 01:32;V;;;;;;
D;219;2355741;13;20231106 01:32;V;;;;;;
B;219;2347986;14;20231106 01:32;;;21;ARGYLE ST;SOUTH WINDSOR;2756;619.7;M;20230504;20231030;600000;E1;R;RESIDENCE;;SLC;;0;AT559578;
C;219;2347986;14;20231106 01:32;Y/415117;
D;219;2347986;14;20231106 01:32;P;;;;;;
D;219;2347986;14;20231106 01:32;V;;;;;;
D;219;2347986;14;20231106 01:32;V;;;;;;
D;219;2347986;14;20231106 01:32;V;;;;;;
