A;RTSALEDATA;270;20210823 01:50;VALNET;
B;270;547320;1;20210823 01:50;;;12;BLUEBONNET CRES;COLEAMBALLY;2707;961.1;M;20210719;20210819;95000;RU5;R;RESIDENCE;;RAA;;0;AR351921;
C;270;547320;1;20210823 01:50;15/234758;
D;270;547320;1;20210823 01:50;P;;;;;;N;
D;270;547320;1;20210823 01:50;V;;;;;;N;
Z;6;1;1;2;
