A;RTSALEDATA;097;20230130 01:07;VALNET;
B;097;4152505;1;20230130 01:07;;;78 A;LAVENDER POINT RD;NORTH NAROOMA;2546;1095;M;20230102;20230125;630000;R2;R;RESIDENCE;;EWF;;0;AS814354;
C;097;4152505;1;20230130 01:07;182/1246226;
D;097;4152505;1;20230130 01:07;P;;;;;;
D;097;4152505;1;20230130 01:07;V;;;;;;
D;097;4152505;1;20230130 01:07;V;;;;;;
B;097;3042772;2;20230130 01:07;;;17;BATMAN PL;SUNSHINE BAY;2536;875.5;M;20221123;20230120;860000;R2;R;RESIDENCE;;EYH;;0;AS800409;
C;097;3042772;2;20230130 01:07;383/1061103;
D;097;3042772;2;20230130 01:07;P;;;;;;
D;097;3042772;2;20230130 01:07;P;;;;;;
D;097;3042772;2;20230130 01:07;V;;;;;;
B;097;1018336;3;20230130 01:07;;;1;DONNELLY DR;MORUYA;2537;9.814;H;20221219;20230123;275000;RU1;V;VACANT LAND;;END;;0;AS805495;
C;097;1018336;3;20230130 01:07;1/780631;
D;097;1018336;3;20230130 01:07;P;;;;;;
D;097;1018336;3;20230130 01:07;V;;;;;;
B;097;1013589;4;20230130 01:07;;23;1;WHARF RD;NORTH BATEMANS BAY;2536;;;20221220;20230123;485000;;R;RESIDENCE;27;;;0;AS807682;
C;097;1013589;4;20230130 01:07;27/SP33263;
D;097;1013589;4;20230130 01:07;P;;;;;;
D;097;1013589;4;20230130 01:07;V;;;;;;
D;097;1013589;4;20230130 01:07;V;;;;;;
B;097;1005734;5;20230130 01:07;;;39;KAROO CRES;MALUA BAY;2536;999;M;20221223;20230120;950000;R2;R;RESIDENCE;;EXV;;0;AS802540;
C;097;1005734;5;20230130 01:07;63/227810;
D;097;1005734;5;20230130 01:07;P;;;;;;
D;097;1005734;5;20230130 01:07;P;;;;;;
D;097;1005734;5;20230130 01:07;V;;;;;;
B;097;1008613;6;20230130 01:07;;;13;SANDY PL;LONG BEACH;2536;569.1;M;20221109;20230125;1500000;R2;R;RESIDENCE;;EXJ;;0;AS814093;
C;097;1008613;6;20230130 01:07;63/23560;
D;097;1008613;6;20230130 01:07;P;;;;;;
D;097;1008613;6;20230130 01:07;V;;;;;;
D;097;1008613;6;20230130 01:07;V;;;;;;
B;097;1016862;7;20230130 01:07;;;7;JOHNSTON WAY;MYSTERY BAY;2546;1000;M;20221220;20230125;435000;R2;R;RESIDENCE;;EXD;;0;AS813848;
C;097;1016862;7;20230130 01:07;41/707370;
D;097;1016862;7;20230130 01:07;P;;;;;;
D;097;1016862;7;20230130 01:07;P;;;;;;
D;097;1016862;7;20230130 01:07;V;;;;;;
D;097;1016862;7;20230130 01:07;V;;;;;;
B;097;1003663;8;20230130 01:07;;;11;VALLEY RD;DENHAMS BEACH;2536;700;M;20221214;20230120;725000;R2;R;RESIDENCE;;EYJ;;0;AS803363;
