A;RTSALEDATA;116;20210111 01:01;VALNET;
B;116;1243251;1;20210111 01:01;;;21;LYNCH ST;PARKES;2870;1012;M;20200520;20200520;3900;R1;R;RESIDENCE;;AAJ;;0;AQ699857;
C;116;1243251;1;20210111 01:01;460/750179;
D;116;1243251;1;20210111 01:01;P;;;;;;
D;116;1243251;1;20210111 01:01;P;;;;;;
D;116;1243251;1;20210111 01:01;P;;;;;;
D;116;1243251;1;20210111 01:01;V;;;;;;
D;116;1243251;1;20210111 01:01;V;;;;;;
D;116;1243251;1;20210111 01:01;V;;;;;;
D;116;1243251;1;20210111 01:01;V;;;;;;
D;116;1243251;1;20210111 01:01;V;;;;;;
D;116;1243251;1;20210111 01:01;V;;;;;;
Z;13;1;1;9;
