A;RTSALEDATA;001;20210816 01:00;VALNET;
B;001;3426880;1;20210816 01:00;;;17 A;ALPINE AVE;CESSNOCK;2325;459.21;M;20210629;20210810;520000;R2;R;RESIDENCE;;AAB;;0;AR320039;
C;001;3426880;1;20210816 01:00;116/1133819;
D;001;3426880;1;20210816 01:00;P;;;;;;
D;001;3426880;1;20210816 01:00;P;;;;;;
D;001;3426880;1;20210816 01:00;V;;;;;;
B;001;3407797;2;20210816 01:00;;1;50;FLEET ST;BRANXTON;2335;;;20210705;20210809;380000;;R;RESIDENCE;1;;;0;AR315048;
C;001;3407797;2;20210816 01:00;1/SP81144;
D;001;3407797;2;20210816 01:00;P;;;;;;
D;001;3407797;2;20210816 01:00;V;;;;;;
B;001;4163254;3;20210816 01:00;;;17;BURRIL ST;BELLBIRD;2325;717;M;20200622;20210809;199000;R2;V;VACANT LAND;;AAC;;0;AR318647;
C;001;4163254;3;20210816 01:00;34/1247629;
D;001;4163254;3;20210816 01:00;P;;;;;;
D;001;4163254;3;20210816 01:00;V;;;;;;
B;001;4206980;4;20210816 01:00;;;20;LOCKWOOD ST;NORTH ROTHBURY;2335;639.4;M;20210625;20210806;665000;R1;R;RESIDENCE;;FCB;;0;AR310948;
C;001;4206980;4;20210816 01:00;1747/1240739;
D;001;4206980;4;20210816 01:00;P;;;;;;
D;001;4206980;4;20210816 01:00;P;;;;;;
D;001;4206980;4;20210816 01:00;V;;;;;;
B;001;4247170;5;20210816 01:00;;;9;KESTERTON RISE;NORTH ROTHBURY;2335;418;M;20210628;20210811;580000;R1;R;RESIDENCE;;FCB;;0;AR324112;
C;001;4247170;5;20210816 01:00;1413/1220518;
D;001;4247170;5;20210816 01:00;P;;;;;;
D;001;4247170;5;20210816 01:00;P;;;;;;
D;001;4247170;5;20210816 01:00;V;;;;;;
B;001;8571;6;20210816 01:00;;;14;STEPHEN ST;CESSNOCK;2325;1043;M;20210705;20210809;605000;R3;R;RESIDENCE;;MAA;;0;AR317001;
C;001;8571;6;20210816 01:00;2/304756;
D;001;8571;6;20210816 01:00;P;;;;;;
D;001;8571;6;20210816 01:00;P;;;;;;
D;001;8571;6;20210816 01:00;V;;;;;;
B;001;1740;7;20210816 01:00;;;2;SCHOLEY ST;CESSNOCK;2325;48.2;M;20210611;20210806;500000;R3;R;RESIDENCE;;MAA;;0;AR311537;
C;001;1740;7;20210816 01:00;22/2/758002 1/821181;
D;001;1740;7;20210816 01:00;P;;;;;;
D;001;1740;7;20210816 01:00;P;;;;;;
D;001;1740;7;20210816 01:00;V;;;;;;
B;001;1824;8;20210816 01:00;;;220;VINCENT ST;CESSNOCK;2325;1176.1;M;20210618;20210809;1100000;B4;3;COMMERCIAL;;BAC;;0;AR315831;
C;001;1824;8;20210816 01:00;5/1/758002;
D;001;1824;8;20210816 01:00;P;;;;;;
D;001;1824;8;20210816 01:00;V;;;;;;
D;001;1824;8;20210816 01:00;V;;;;;;
D;001;1824;8;20210816 01:00;V;;;;;;
B;001;4288;9;20210816 01:00;;;58;CHURCH ST;EAST BRANXTON;2335;539.9;M;20210629;20210810;441000;R2;R;RESIDENCE;;AAI;;0;AR321095;
C;001;4288;9;20210816 01:00;2/804138;
D;001;4288;9;20210816 01:00;P;;;;;;
D;001;4288;9;20210816 01:00;V;;;;;;
B;001;1918;10;20210816 01:00;;;97;VINCENT ST;CESSNOCK;2325;404.71;M;20210625;20210806;621500;B3;3;COMMERCIAL;;BAB;;0;AR312138;
C;001;1918;10;20210816 01:00;1/947324;
D;001;1918;10;20210816 01:00;P;;;;;;
D;001;1918;10;20210816 01:00;V;;;;;;
D;001;1918;10;20210816 01:00;V;;;;;;
B;001;6789;11;20210816 01:00;;;1;GOVERNMENT RD;CESSNOCK;2325;4047;M;20210627;20210809;680000;R2;R;RESIDENCE;;AAB;;0;AR315852;
C;001;6789;11;20210816 01:00;21/11020;
D;001;6789;11;20210816 01:00;P;;;;;;
D;001;6789;11;20210816 01:00;P;;;;;;
D;001;6789;11;20210816 01:00;V;;;;;;
D;001;6789;11;20210816 01:00;V;;;;;;
B;001;4867;12;20210816 01:00;;;17;VICTORIA ST;EAST BRANXTON;2335;815.7;M;20210707;20210810;490000;R2;R;RESIDENCE;;AAI;;0;AR321250;
C;001;4867;12;20210816 01:00;5/B/1539;
D;001;4867;12;20210816 01:00;P;;;;;;
D;001;4867;12;20210816 01:00;V;;;;;;
B;001;5030;13;20210816 01:00;;;3;ALEXANDER ST;CESSNOCK;2325;613.11;M;20210714;20210811;610000;R3;R;RESIDENCE;;MAA;;0;AR323137;
C;001;5030;13;20210816 01:00;5/E/4927;
D;001;5030;13;20210816 01:00;P;;;;;;
D;001;5030;13;20210816 01:00;V;;;;;;
B;001;7422;14;20210816 01:00;;;51;MCGRANE ST;CESSNOCK;2325;809.43;M;20210531;20210811;710000;R3;R;RESIDENCE;;MAA;;0;AR326278;
C;001;7422;14;20210816 01:00;10/16/5442;
D;001;7422;14;20210816 01:00;P;;;;;;
D;001;7422;14;20210816 01:00;V;;;;;;
B;001;3375;15;20210816 01:00;;;34;KALINGO ST;BELLBIRD;2325;809.4;M;20210702;20210806;525000;R2;R;RESIDENCE;;AAC;;0;AR312339;
C;001;3375;15;20210816 01:00;13/J/6264;
