A;RTSALEDATA;124;20230911 01:05;VALNET;
B;124;1272028;1;20230911 01:05;;;10;JAMES RYAN AVE;ORANGE;2800;752.4;M;20230804;20230901;580000;R2;R;RESIDENCE;;ALH;;0;AT406607;
C;124;1272028;1;20230911 01:05;42/243832;
D;124;1272028;1;20230911 01:05;P;;;;;;
D;124;1272028;1;20230911 01:05;V;;;;;;
B;124;2876345;2;20230911 01:05;;;188;CANOBOLAS RD;CANOBOLAS;2800;2.056;H;20230801;20230901;1610000;RU1;R;RESIDENCE;;RRS;;0;AT405764;
C;124;2876345;2;20230911 01:05;10/1035966;
D;124;2876345;2;20230911 01:05;P;;;;;;
D;124;2876345;2;20230911 01:05;P;;;;;;
D;124;2876345;2;20230911 01:05;V;;;;;;
D;124;2876345;2;20230911 01:05;V;;;;;;
B;124;4137443;3;20230911 01:05;;;33;SCARBOROUGH ST;ORANGE;2800;799.8;M;20230720;20230901;975000;R1;R;RESIDENCE;;AGV;;0;AT406120;
C;124;4137443;3;20230911 01:05;206/1245015;
D;124;4137443;3;20230911 01:05;P;;;;;;
D;124;4137443;3;20230911 01:05;P;;;;;;
D;124;4137443;3;20230911 01:05;V;;;;;;
B;124;1274954;4;20230911 01:05;;;70;MATTHEWS AVE;ORANGE;2800;682.9;M;20230810;20230907;639000;R1;R;RESIDENCE;;AGM;;0;AT421185;
C;124;1274954;4;20230911 01:05;21/231942;
D;124;1274954;4;20230911 01:05;P;;;;;;
D;124;1274954;4;20230911 01:05;V;;;;;;
B;124;1277572;5;20230911 01:05;;;3;RAWLE AVE;ORANGE;2800;646.2;M;20230809;20230906;300000;R1;R;RESIDENCE;;AGM;;0;AT417850;
C;124;1277572;5;20230911 01:05;78/715405;
D;124;1277572;5;20230911 01:05;P;;;;;;
D;124;1277572;5;20230911 01:05;P;;;;;;
D;124;1277572;5;20230911 01:05;V;;;;;;
B;124;1272634;6;20230911 01:05;;;12;KENT AVE;ORANGE;2800;814.8;M;20230802;20230906;604000;R1;R;RESIDENCE;;AGM;;0;AT417524;
C;124;1272634;6;20230911 01:05;85/715405;
D;124;1272634;6;20230911 01:05;P;;;;;;
D;124;1272634;6;20230911 01:05;V;;;;;;
B;124;1277953;7;20230911 01:05;;;39;SAMPSON ST;ORANGE;2800;1384;M;20230725;20230905;3500000;R1;R;RESIDENCE;;AGC;;0;AT414280;
C;124;1277953;7;20230911 01:05;1/744326;
D;124;1277953;7;20230911 01:05;P;;;;;;
D;124;1277953;7;20230911 01:05;P;;;;;;
D;124;1277953;7;20230911 01:05;V;;;;;;
D;124;1277953;7;20230911 01:05;V;;;;;;
B;124;1278071;8;20230911 01:05;;;132;SAMPSON ST;ORANGE;2800;1145;M;20230724;20230904;500000;R1;R;RESIDENCE;;AGM;;0;AT410072;
C;124;1278071;8;20230911 01:05;6/39274;
D;124;1278071;8;20230911 01:05;P;;;;;;
D;124;1278071;8;20230911 01:05;P;;;;;;
D;124;1278071;8;20230911 01:05;V;;;;;;
B;124;1270406;9;20230911 01:05;;;16;FOX AVE;ORANGE;2800;575.4;M;20230810;20230904;517000;R1;R;RESIDENCE;;AGM;;0;AT411133;
C;124;1270406;9;20230911 01:05;13/25690;
