A;RTSALEDATA;065;20211115 01:36;VALNET;
B;065;537505;1;20211115 01:38;;;46;CHURCH ST;LEETON;2705;;;20211027;20211110;245000;;R;RESIDENCE;1;;;0;AR604463;
C;065;537505;1;20211115 01:38;1/SP48032;
D;065;537505;1;20211115 01:38;P;;;;;;
D;065;537505;1;20211115 01:38;V;;;;;;
B;065;539699;2;20211115 01:38;;;18;YANCO AVE;LEETON;2705;771.4;M;20211018;20211108;220000;R1;R;RESIDENCE;;AAS;;0;AR597024;
C;065;539699;2;20211115 01:38;17/57/758606;
D;065;539699;2;20211115 01:38;P;;;;;;
D;065;539699;2;20211115 01:38;P;;;;;;
D;065;539699;2;20211115 01:38;V;;;;;;
D;065;539699;2;20211115 01:38;V;;;;;;
B;065;539138;3;20211115 01:38;;;4;TELOPEA ST;LEETON;2705;556.4;M;20210921;20211108;220000;R1;R;RESIDENCE;;AAS;;0;AR593552;
C;065;539138;3;20211115 01:38;27/59/758606;
D;065;539138;3;20211115 01:38;P;;;;;;
D;065;539138;3;20211115 01:38;V;;;;;;
D;065;539138;3;20211115 01:38;V;;;;;;
B;065;3647211;4;20211115 01:38;;;1360;WHITTON RD;STANBRIDGE;2705;55.14;H;20210929;20211110;851000;RU1;3;FARM;;RRR;;0;AR601871;
C;065;3647211;4;20211115 01:38;103/751732;
D;065;3647211;4;20211115 01:38;P;;;;;;
D;065;3647211;4;20211115 01:38;V;;;;;;
B;065;539943;5;20211115 01:38;;;50;CATALPA RD;LEETON;2705;6756;M;20211018;20211109;625000;R2;R;RESIDENCE;;ALD;;0;AR599058;
C;065;539943;5;20211115 01:38;661/720475;
D;065;539943;5;20211115 01:38;P;;;;;;
D;065;539943;5;20211115 01:38;P;;;;;;
D;065;539943;5;20211115 01:38;V;;;;;;
D;065;539943;5;20211115 01:38;V;;;;;;
Z;27;5;5;15;
